Material,Plant,Storage Location,Movement Type,Posting Date,Qty in unit of entry,Amount in Local Currency,Material Document,Cost Center,User Name
UAT-0001,P100,0002,201,2025-01-10,-14,-119,4900000001,CC-P100,UAT.PLANNER1
UAT-0001,P100,0002,101,2025-01-03,19,161.5,4900000002,,UAT.STORES1
UAT-0001,P100,0002,201,2025-02-10,-14,-119,4900000003,CC-P100,UAT.PLANNER1
UAT-0001,P100,0002,201,2025-03-10,-14,-119,4900000004,CC-P100,UAT.PLANNER1
UAT-0001,P100,0002,101,2025-03-03,19,161.5,4900000005,,UAT.STORES1
UAT-0001,P100,0002,201,2025-04-10,-14,-119,4900000006,CC-P100,UAT.PLANNER1
UAT-0001,P100,0002,201,2025-05-10,-14,-119,4900000007,CC-P100,UAT.PLANNER1
UAT-0001,P100,0002,101,2025-05-03,19,161.5,4900000008,,UAT.STORES1
UAT-0001,P100,0002,201,2025-06-10,-14,-119,4900000009,CC-P100,UAT.PLANNER1
UAT-0001,P100,0002,201,2025-07-10,-14,-119,4900000010,CC-P100,UAT.PLANNER1
UAT-0001,P100,0002,101,2025-07-03,19,161.5,4900000011,,UAT.STORES1
UAT-0001,P100,0002,201,2025-08-10,-14,-119,4900000012,CC-P100,UAT.PLANNER1
UAT-0001,P100,0002,201,2025-09-10,-14,-119,4900000013,CC-P100,UAT.PLANNER1
UAT-0001,P100,0002,101,2025-09-03,19,161.5,4900000014,,UAT.STORES1
UAT-0001,P100,0002,201,2025-10-10,-14,-119,4900000015,CC-P100,UAT.PLANNER1
UAT-0001,P100,0002,201,2025-11-10,-14,-119,4900000016,CC-P100,UAT.PLANNER1
UAT-0001,P100,0002,101,2025-11-03,19,161.5,4900000017,,UAT.STORES1
UAT-0001,P100,0002,201,2025-12-10,-14,-119,4900000018,CC-P100,UAT.PLANNER1
UAT-0001,P100,0002,201,2026-01-10,-14,-119,4900000019,CC-P100,UAT.PLANNER1
UAT-0001,P100,0002,101,2026-01-03,19,161.5,4900000020,,UAT.STORES1
UAT-0001,P100,0002,201,2026-02-10,-14,-119,4900000021,CC-P100,UAT.PLANNER1
UAT-0001,P100,0002,201,2026-03-10,-14,-119,4900000022,CC-P100,UAT.PLANNER1
UAT-0001,P100,0002,101,2026-03-03,19,161.5,4900000023,,UAT.STORES1
UAT-0001,P100,0002,201,2026-04-10,-14,-119,4900000024,CC-P100,UAT.PLANNER1
UAT-0001,P100,0002,201,2026-05-10,-14,-119,4900000025,CC-P100,UAT.PLANNER1
UAT-0001,P100,0002,101,2026-05-03,19,161.5,4900000026,,UAT.STORES1
UAT-0001,P100,0002,201,2026-06-10,-14,-119,4900000027,CC-P100,UAT.PLANNER1
UAT-0002,P100,0003,201,2025-01-10,-18,-216,4900000028,CC-P100,UAT.PLANNER1
UAT-0002,P100,0003,101,2025-01-03,23,276,4900000029,,UAT.STORES1
UAT-0002,P100,0003,201,2025-02-10,-18,-216,4900000030,CC-P100,UAT.PLANNER1
UAT-0002,P100,0003,201,2025-03-10,-18,-216,4900000031,CC-P100,UAT.PLANNER1
UAT-0002,P100,0003,101,2025-03-03,23,276,4900000032,,UAT.STORES1
UAT-0002,P100,0003,201,2025-04-10,-18,-216,4900000033,CC-P100,UAT.PLANNER1
UAT-0002,P100,0003,201,2025-05-10,-18,-216,4900000034,CC-P100,UAT.PLANNER1
UAT-0002,P100,0003,101,2025-05-03,23,276,4900000035,,UAT.STORES1
UAT-0002,P100,0003,201,2025-06-10,-18,-216,4900000036,CC-P100,UAT.PLANNER1
UAT-0002,P100,0003,201,2025-07-10,-18,-216,4900000037,CC-P100,UAT.PLANNER1
UAT-0002,P100,0003,101,2025-07-03,23,276,4900000038,,UAT.STORES1
UAT-0002,P100,0003,201,2025-08-10,-18,-216,4900000039,CC-P100,UAT.PLANNER1
UAT-0002,P100,0003,201,2025-09-10,-18,-216,4900000040,CC-P100,UAT.PLANNER1
UAT-0002,P100,0003,101,2025-09-03,23,276,4900000041,,UAT.STORES1
UAT-0002,P100,0003,201,2025-10-10,-18,-216,4900000042,CC-P100,UAT.PLANNER1
UAT-0002,P100,0003,201,2025-11-10,-18,-216,4900000043,CC-P100,UAT.PLANNER1
UAT-0002,P100,0003,101,2025-11-03,23,276,4900000044,,UAT.STORES1
UAT-0002,P100,0003,201,2025-12-10,-18,-216,4900000045,CC-P100,UAT.PLANNER1
UAT-0002,P100,0003,201,2026-01-10,-18,-216,4900000046,CC-P100,UAT.PLANNER1
UAT-0002,P100,0003,101,2026-01-03,23,276,4900000047,,UAT.STORES1
UAT-0002,P100,0003,201,2026-02-10,-18,-216,4900000048,CC-P100,UAT.PLANNER1
UAT-0002,P100,0003,201,2026-03-10,-18,-216,4900000049,CC-P100,UAT.PLANNER1
UAT-0002,P100,0003,101,2026-03-03,23,276,4900000050,,UAT.STORES1
UAT-0002,P100,0003,201,2026-04-10,-18,-216,4900000051,CC-P100,UAT.PLANNER1
UAT-0002,P100,0003,201,2026-05-10,-18,-216,4900000052,CC-P100,UAT.PLANNER1
UAT-0002,P100,0003,101,2026-05-03,23,276,4900000053,,UAT.STORES1
UAT-0002,P100,0003,201,2026-06-10,-18,-216,4900000054,CC-P100,UAT.PLANNER1
UAT-0003,P100,0001,201,2025-01-10,-22,-341,4900000055,CC-P100,UAT.PLANNER1
UAT-0003,P100,0001,101,2025-01-03,27,418.5,4900000056,,UAT.STORES1
UAT-0003,P100,0001,201,2025-02-10,-22,-341,4900000057,CC-P100,UAT.PLANNER1
UAT-0003,P100,0001,201,2025-03-10,-22,-341,4900000058,CC-P100,UAT.PLANNER1
UAT-0003,P100,0001,101,2025-03-03,27,418.5,4900000059,,UAT.STORES1
UAT-0003,P100,0001,201,2025-04-10,-22,-341,4900000060,CC-P100,UAT.PLANNER1
UAT-0003,P100,0001,201,2025-05-10,-22,-341,4900000061,CC-P100,UAT.PLANNER1
UAT-0003,P100,0001,101,2025-05-03,27,418.5,4900000062,,UAT.STORES1
UAT-0003,P100,0001,201,2025-06-10,-22,-341,4900000063,CC-P100,UAT.PLANNER1
UAT-0003,P100,0001,201,2025-07-10,-22,-341,4900000064,CC-P100,UAT.PLANNER1
UAT-0003,P100,0001,101,2025-07-03,27,418.5,4900000065,,UAT.STORES1
UAT-0003,P100,0001,201,2025-08-10,-22,-341,4900000066,CC-P100,UAT.PLANNER1
UAT-0003,P100,0001,201,2025-09-10,-22,-341,4900000067,CC-P100,UAT.PLANNER1
UAT-0003,P100,0001,101,2025-09-03,27,418.5,4900000068,,UAT.STORES1
UAT-0003,P100,0001,201,2025-10-10,-22,-341,4900000069,CC-P100,UAT.PLANNER1
UAT-0003,P100,0001,201,2025-11-10,-22,-341,4900000070,CC-P100,UAT.PLANNER1
UAT-0003,P100,0001,101,2025-11-03,27,418.5,4900000071,,UAT.STORES1
UAT-0003,P100,0001,201,2025-12-10,-22,-341,4900000072,CC-P100,UAT.PLANNER1
UAT-0003,P100,0001,201,2026-01-10,-22,-341,4900000073,CC-P100,UAT.PLANNER1
UAT-0003,P100,0001,101,2026-01-03,27,418.5,4900000074,,UAT.STORES1
UAT-0003,P100,0001,201,2026-02-10,-22,-341,4900000075,CC-P100,UAT.PLANNER1
UAT-0003,P100,0001,201,2026-03-10,-22,-341,4900000076,CC-P100,UAT.PLANNER1
UAT-0003,P100,0001,101,2026-03-03,27,418.5,4900000077,,UAT.STORES1
UAT-0003,P100,0001,201,2026-04-10,-22,-341,4900000078,CC-P100,UAT.PLANNER1
UAT-0003,P100,0001,201,2026-05-10,-22,-341,4900000079,CC-P100,UAT.PLANNER1
UAT-0003,P100,0001,101,2026-05-03,27,418.5,4900000080,,UAT.STORES1
UAT-0003,P100,0001,201,2026-06-10,-22,-341,4900000081,CC-P100,UAT.PLANNER1
UAT-0004,P100,0002,201,2025-01-10,-26,-494,4900000082,CC-P100,UAT.PLANNER1
UAT-0004,P100,0002,101,2025-01-03,31,589,4900000083,,UAT.STORES1
UAT-0004,P100,0002,201,2025-02-10,-26,-494,4900000084,CC-P100,UAT.PLANNER1
UAT-0004,P100,0002,201,2025-03-10,-26,-494,4900000085,CC-P100,UAT.PLANNER1
UAT-0004,P100,0002,101,2025-03-03,31,589,4900000086,,UAT.STORES1
UAT-0004,P100,0002,201,2025-04-10,-26,-494,4900000087,CC-P100,UAT.PLANNER1
UAT-0004,P100,0002,201,2025-05-10,-26,-494,4900000088,CC-P100,UAT.PLANNER1
UAT-0004,P100,0002,101,2025-05-03,31,589,4900000089,,UAT.STORES1
UAT-0004,P100,0002,201,2025-06-10,-26,-494,4900000090,CC-P100,UAT.PLANNER1
UAT-0004,P100,0002,201,2025-07-10,-26,-494,4900000091,CC-P100,UAT.PLANNER1
UAT-0004,P100,0002,101,2025-07-03,31,589,4900000092,,UAT.STORES1
