Material,Material Description,Plant,Storage Location,Base Unit,Unrestricted,Blocked,In Quality Insp.,Value,Currency,Safety Stock,Reorder Point,Maximum Stock,Plnd Delivery Time,Last Movement
UAT-0001,Synthetic Part 0001 (bearings),P100,0002,EA,47,0,0,399.5,SAR,25,40,200,7,2026-06-15
UAT-0002,Synthetic Part 0002 (seals),P100,0003,EA,54,0,0,648,SAR,25,40,200,7,2026-06-15
UAT-0003,Synthetic Part 0003 (electrical),P100,0001,EA,61,0,0,945.5,SAR,25,40,200,7,2026-06-15
UAT-0004,Synthetic Part 0004 (lubricants),P100,0002,EA,68,0,0,1292,SAR,25,40,200,7,2026-06-15
UAT-0005,Synthetic Part 0005 (spares),P100,0003,EA,75,0,0,1687.5,SAR,25,40,200,7,2026-06-15
UAT-0006,Synthetic Part 0006 (fasteners),P100,0001,EA,82,0,0,2132,SAR,25,40,200,7,2026-06-15
UAT-0007,Synthetic Part 0007 (bearings),P100,0002,KG,89,0,0,2625.5,SAR,25,40,200,7,2026-06-15
UAT-0008,Synthetic Part 0008 (seals),P100,0003,EA,96,0,0,3168,SAR,25,40,200,7,2026-06-15
UAT-0009,Synthetic Part 0009 (electrical),P100,0001,EA,103,0,0,3759.5,SAR,25,40,200,7,2026-06-15
UAT-0010,Synthetic Part 0010 (lubricants),P100,0002,EA,110,0,0,4400,SAR,25,40,200,7,2026-06-15
UAT-0011,Synthetic Part 0011 (spares),P100,0003,EA,117,0,0,5089.5,SAR,25,40,200,7,2025-12-20
UAT-0012,Synthetic Part 0012 (fasteners),P100,0001,EA,124,0,0,5828,SAR,25,40,200,7,2025-12-20
UAT-0013,Synthetic Part 0013 (bearings),P100,0002,EA,131,0,0,6615.5,SAR,25,40,200,7,2025-03-01
UAT-0014,Synthetic Part 0014 (seals),P100,0003,KG,138,0,0,7452,SAR,25,40,200,7,2025-03-01
UAT-0015,Synthetic Part 0015 (electrical),P100,0001,EA,3,0,0,172.5,SAR,25,40,200,14,2026-06-15
UAT-0016,Synthetic Part 0016 (lubricants),P100,0002,EA,2400,0,0,146400,SAR,25,40,200,7,2026-06-15
UAT-0017,Synthetic Part 0017 (spares),P100,0003,EA,159,60,25,15738,SAR,25,40,200,7,2026-06-15
UAT-0018,Synthetic Part 0018 (fasteners),P100,0001,EA,166,0,0,11288,SAR,25,40,200,7,2026-06-15
UAT-0019,Synthetic Part 0019 (bearings),P100,0002,EA,173,0,0,12369.5,SAR,25,40,200,7,2026-06-15
UAT-0020,Synthetic Part 0020 (seals),P100,0003,EA,180,0,0,13500,SAR,25,40,200,7,2026-06-15
UAT-0021,Synthetic Part 0021 (electrical),P200,0001,KG,187,0,0,14679.5,SAR,25,40,200,7,2026-06-15
UAT-0022,Synthetic Part 0022 (lubricants),P200,0002,EA,194,0,0,15908,SAR,25,40,200,7,2026-06-15
UAT-0023,Synthetic Part 0023 (spares),P200,0003,EA,-12,0,0,-1026,SAR,25,40,200,7,2026-06-15
UAT-0024,Synthetic Part 0024 (fasteners),P200,0001,EA,208,0,0,0,SAR,25,40,200,7,2026-06-15
UAT-0025,Synthetic Part 0025 (bearings),P200,0002,EA,215,0,0,19887.5,SAR,25,40,200,7,2026-06-15
UAT-0026,Synthetic Part 0026 (seals),P200,0003,EA,222,0,0,21312,SAR,25,40,200,7,2026-06-15
UAT-0027,Synthetic Part 0027 (electrical),P200,0001,EA,229,0,0,22785.5,SAR,25,40,200,7,2026-06-15
UAT-0028,Synthetic Part 0028 (lubricants),P200,0002,KG,236,0,0,24308,SAR,25,40,200,7,2026-06-15
UAT-0029,Synthetic Part 0029 (spares),P200,0003,EA,243,0,0,25879.5,SAR,25,40,200,7,2026-06-15
UAT-0030,Synthetic Part 0030 (fasteners),P200,0001,EA,250,0,0,27500,SAR,25,40,200,7,2026-06-15
,Row without material code,P100,0001,EA,10,0,0,100,SAR,0,0,0,7,2026-06-01
UAT-0005,Synthetic Part 0005 (spares),P100,0003,EA,75,0,0,1687.5,SAR,25,40,200,7,2026-06-15
UAT-0025,Bad date row,P200,0002,EA,5,0,0,50,SAR,0,0,0,7,31.02.2026
UAT-0022,Synthetic Part 0022 (electrical),P200,0003,KG,15,0,0,380,SAR,25,40,200,7,2026-06-10
