Material,Plant,Posting Date,Quantity,Value,Currency
UAT-0001,P100,2026-01-01,95,807.5,SAR
UAT-0001,P100,2026-02-01,97,824.5,SAR
UAT-0001,P100,2026-03-01,89,756.5,SAR
UAT-0001,P100,2026-04-01,91,773.5,SAR
UAT-0001,P100,2026-05-01,83,705.5,SAR
UAT-0001,P100,2026-06-01,85,722.5,SAR
UAT-0002,P100,2026-01-01,98,1176,SAR
UAT-0002,P100,2026-02-01,100,1200,SAR
UAT-0002,P100,2026-03-01,92,1104,SAR
UAT-0002,P100,2026-04-01,94,1128,SAR
UAT-0002,P100,2026-05-01,86,1032,SAR
UAT-0002,P100,2026-06-01,88,1056,SAR
UAT-0003,P100,2026-01-01,101,1565.5,SAR
UAT-0003,P100,2026-02-01,103,1596.5,SAR
UAT-0003,P100,2026-03-01,95,1472.5,SAR
UAT-0003,P100,2026-04-01,97,1503.5,SAR
UAT-0003,P100,2026-05-01,89,1379.5,SAR
UAT-0003,P100,2026-06-01,91,1410.5,SAR
UAT-0004,P100,2026-01-01,104,1976,SAR
UAT-0004,P100,2026-02-01,106,2014,SAR
UAT-0004,P100,2026-03-01,98,1862,SAR
UAT-0004,P100,2026-04-01,100,1900,SAR
UAT-0004,P100,2026-05-01,92,1748,SAR
UAT-0004,P100,2026-06-01,94,1786,SAR
UAT-0005,P100,2026-01-01,107,2407.5,SAR
UAT-0005,P100,2026-02-01,109,2452.5,SAR
UAT-0005,P100,2026-03-01,101,2272.5,SAR
UAT-0005,P100,2026-04-01,103,2317.5,SAR
UAT-0005,P100,2026-05-01,95,2137.5,SAR
UAT-0005,P100,2026-06-01,97,2182.5,SAR
UAT-0006,P100,2026-01-01,110,2860,SAR
UAT-0006,P100,2026-02-01,112,2912,SAR
UAT-0006,P100,2026-03-01,104,2704,SAR
UAT-0006,P100,2026-04-01,106,2756,SAR
UAT-0006,P100,2026-05-01,98,2548,SAR
UAT-0006,P100,2026-06-01,100,2600,SAR
UAT-0007,P100,2026-01-01,113,3333.5,SAR
UAT-0007,P100,2026-02-01,115,3392.5,SAR
UAT-0007,P100,2026-03-01,107,3156.5,SAR
UAT-0007,P100,2026-04-01,109,3215.5,SAR
UAT-0007,P100,2026-05-01,101,2979.5,SAR
UAT-0007,P100,2026-06-01,103,3038.5,SAR
UAT-0008,P100,2026-01-01,116,3828,SAR
UAT-0008,P100,2026-02-01,118,3894,SAR
UAT-0008,P100,2026-03-01,110,3630,SAR
UAT-0008,P100,2026-04-01,112,3696,SAR
UAT-0008,P100,2026-05-01,104,3432,SAR
UAT-0008,P100,2026-06-01,106,3498,SAR
UAT-0009,P100,2026-01-01,119,4343.5,SAR
UAT-0009,P100,2026-02-01,121,4416.5,SAR
UAT-0009,P100,2026-03-01,113,4124.5,SAR
UAT-0009,P100,2026-04-01,115,4197.5,SAR
UAT-0009,P100,2026-05-01,107,3905.5,SAR
UAT-0009,P100,2026-06-01,109,3978.5,SAR
UAT-0010,P100,2026-01-01,122,4880,SAR
UAT-0010,P100,2026-02-01,124,4960,SAR
UAT-0010,P100,2026-03-01,116,4640,SAR
UAT-0010,P100,2026-04-01,118,4720,SAR
UAT-0010,P100,2026-05-01,110,4400,SAR
UAT-0010,P100,2026-06-01,112,4480,SAR
