Material,Plant,Posting Date,Requirement Quantity,Purchase Order,Vendor
UAT-0001,P100,2026-08-05,40,450001,VENDOR-SYN-01
UAT-0001,P100,2026-09-05,40,,
UAT-0002,P100,2026-08-05,40,450002,VENDOR-SYN-01
UAT-0002,P100,2026-09-05,40,,
UAT-0003,P100,2026-08-05,40,450003,VENDOR-SYN-01
UAT-0003,P100,2026-09-05,40,,
UAT-0004,P100,2026-08-05,40,450004,VENDOR-SYN-01
UAT-0004,P100,2026-09-05,40,,
UAT-0005,P100,2026-08-05,40,450005,VENDOR-SYN-01
UAT-0005,P100,2026-09-05,40,,
UAT-0006,P100,2026-08-05,40,450006,VENDOR-SYN-01
UAT-0006,P100,2026-09-05,40,,
UAT-0007,P100,2026-08-05,40,450007,VENDOR-SYN-01
UAT-0007,P100,2026-09-05,40,,
UAT-0008,P100,2026-08-05,40,450008,VENDOR-SYN-01
UAT-0008,P100,2026-09-05,40,,
