Material,Plant,Storage Location,Unrestricted,In Quality Insp.,Blocked,In Transit
UAT-0001,P100,0002,53,0,0,0
UAT-0002,P100,0003,56,0,0,0
UAT-0003,P100,0001,59,0,0,0
UAT-0004,P100,0002,62,0,0,0
UAT-0005,P100,0003,65,0,0,20
UAT-0006,P100,0001,68,0,0,0
UAT-0007,P100,0002,71,0,0,0
UAT-0008,P100,0003,74,0,0,0
UAT-0009,P100,0001,77,0,0,0
UAT-0010,P100,0002,80,0,0,20
UAT-0011,P100,0003,83,0,0,0
UAT-0012,P100,0001,86,0,0,0
UAT-0013,P100,0002,89,0,0,0
UAT-0014,P100,0003,92,0,0,0
UAT-0015,P100,0001,95,0,0,20
UAT-0016,P100,0002,98,0,0,0
UAT-0017,P100,0003,101,25,60,0
UAT-0018,P100,0001,104,0,0,0
UAT-0019,P100,0002,107,0,0,0
UAT-0020,P100,0003,110,0,0,20
UAT-0021,P200,0001,113,0,0,0
UAT-0022,P200,0002,116,0,0,0
UAT-0023,P200,0003,119,0,0,0
UAT-0024,P200,0001,122,0,0,0
UAT-0025,P200,0002,125,0,0,20
UAT-0026,P200,0003,128,0,0,0
UAT-0027,P200,0001,131,0,0,0
UAT-0028,P200,0002,134,0,0,0
UAT-0029,P200,0003,137,0,0,0
UAT-0030,P200,0001,140,0,0,20
