MATNR,MAKTX,MTART,MATKL,MEINS,WERKS,STPRS,WAERS,EISBE,MINBE,MABST,PLIFZ,DISPO
UAT-0001,Synthetic Part 0001 (bearings),ERSA,BEARINGS,EA,P100,8.5,SAR,25,40,200,7,M2
UAT-0002,Synthetic Part 0002 (seals),ERSA,SEALS,EA,P100,12,SAR,25,40,200,7,M3
UAT-0003,Synthetic Part 0003 (electrical),ERSA,ELECTRICAL,EA,P100,15.5,SAR,25,40,200,7,M1
UAT-0004,Synthetic Part 0004 (lubricants),ERSA,LUBRICANTS,EA,P100,19,SAR,25,40,200,7,M2
UAT-0005,Synthetic Part 0005 (spares),ERSA,SPARES,EA,P100,22.5,SAR,25,40,200,7,M3
UAT-0006,Synthetic Part 0006 (fasteners),ERSA,FASTENERS,EA,P100,26,SAR,25,40,200,7,M1
UAT-0007,Synthetic Part 0007 (bearings),ERSA,BEARINGS,KG,P100,29.5,SAR,25,40,200,7,M2
UAT-0008,Synthetic Part 0008 (seals),ERSA,SEALS,EA,P100,33,SAR,25,40,200,7,M3
UAT-0009,Synthetic Part 0009 (electrical),ERSA,ELECTRICAL,EA,P100,36.5,SAR,25,40,200,7,M1
UAT-0010,Synthetic Part 0010 (lubricants),ERSA,LUBRICANTS,EA,P100,40,SAR,25,40,200,7,M2
UAT-0011,Synthetic Part 0011 (spares),ERSA,SPARES,EA,P100,43.5,SAR,25,40,200,7,M3
UAT-0012,Synthetic Part 0012 (fasteners),ERSA,FASTENERS,EA,P100,47,SAR,25,40,200,7,M1
UAT-0013,Synthetic Part 0013 (bearings),ERSA,BEARINGS,EA,P100,50.5,SAR,25,40,200,7,M2
UAT-0014,Synthetic Part 0014 (seals),ERSA,SEALS,KG,P100,54,SAR,25,40,200,7,M3
UAT-0015,Synthetic Part 0015 (electrical),ERSA,ELECTRICAL,EA,P100,57.5,SAR,25,40,200,7,M1
UAT-0016,Synthetic Part 0016 (lubricants),ERSA,LUBRICANTS,EA,P100,61,SAR,25,40,200,7,M2
UAT-0017,Synthetic Part 0017 (spares),ERSA,SPARES,EA,P100,64.5,SAR,25,40,200,7,M3
UAT-0018,Synthetic Part 0018 (fasteners),ERSA,FASTENERS,EA,P100,68,SAR,25,40,200,7,M1
UAT-0019,Synthetic Part 0019 (bearings),ERSA,BEARINGS,EA,P100,71.5,SAR,25,40,200,7,M2
UAT-0020,Synthetic Part 0020 (seals),ERSA,SEALS,EA,P100,75,SAR,25,40,200,7,M3
UAT-0021,Synthetic Part 0021 (electrical),ERSA,ELECTRICAL,KG,P200,78.5,SAR,25,40,200,7,M1
UAT-0022,Synthetic Part 0022 (lubricants),ERSA,LUBRICANTS,EA,P200,82,SAR,25,40,200,7,M2
UAT-0023,Synthetic Part 0023 (spares),ERSA,SPARES,EA,P200,85.5,SAR,25,40,200,7,M3
UAT-0024,Synthetic Part 0024 (fasteners),ERSA,FASTENERS,EA,P200,,SAR,25,40,200,7,M1
UAT-0025,Synthetic Part 0025 (bearings),ERSA,BEARINGS,EA,P200,92.5,SAR,25,40,200,7,M2
UAT-0026,Synthetic Part 0026 (seals),ERSA,,EA,P200,96,SAR,25,40,200,7,M3
UAT-0027,Synthetic Part 0027 (electrical),ERSA,ELECTRICAL,EA,P200,99.5,SAR,25,40,200,,M1
UAT-0028,Synthetic Part 0028 (lubricants),ERSA,LUBRICANTS,KG,P200,103,SAR,25,40,200,7,M2
UAT-0029,Synthetic Part 0029 (spares),ERSA,SPARES,EA,P200,106.5,SAR,25,40,200,7,M3
UAT-0030,Synthetic Part 0030 (fasteners),ERSA,FASTENERS,EA,P200,110,SAR,25,40,200,7,M1
