Material,Plant,Storage Location,Book Quantity,Counted Quantity,Difference,Counted By,Posting Date
UAT-0001,P100,0002,60,60,0,UAT.COUNTER1,2026-06-30
UAT-0002,P100,0003,65,67,2,UAT.COUNTER1,2026-06-30
UAT-0003,P100,0001,70,72,2,UAT.COUNTER1,2026-06-30
UAT-0004,P100,0002,75,72,-3,UAT.COUNTER1,2026-06-30
UAT-0005,P100,0003,80,80,99,UAT.COUNTER1,2026-06-30
UAT-0006,P100,0001,85,87,2,UAT.COUNTER1,2026-06-30
UAT-0007,P100,0002,90,87,-3,UAT.COUNTER1,2026-06-30
UAT-0008,P100,0003,95,97,2,UAT.COUNTER1,2026-06-30
UAT-0009,P100,0001,100,100,0,UAT.COUNTER1,2026-06-30
UAT-0010,P100,0002,105,102,-3,UAT.COUNTER1,2026-06-30
UAT-0011,P100,0003,110,112,2,UAT.COUNTER1,2026-06-30
UAT-0012,P100,0001,115,117,2,UAT.COUNTER1,2026-06-30
UAT-0013,P100,0002,120,120,0,UAT.COUNTER1,2026-06-30
UAT-0014,P100,0003,125,127,2,UAT.COUNTER1,2026-06-30
UAT-0015,P100,0001,130,132,2,UAT.COUNTER1,2026-06-30
